frame,baseX,baseY,headX,headY,handX,handY
785,1398,620,1372,478,1256,618
787,1344,640,1316,456,1322,616
790,1284,648,1264,448,1406,618
792,1244,638,1240,438,1370,624
794,1206,604,1216,418,1328,636
796,1170,608,1184,424,1278,634
797,1163.4962962962964,598.8592592592593,1174.888888888889,430.10370370370373,1270,616
798,1128,618,1169.6851851851852,435.56049382716054,1257.3333333333333,613.5
799,1152,602,1166,440,1246,614
800,1124,628,1166,440,1246,614
801,1124,628,1166,440,1188,628
802,1124,628,1166,440,1154,640
803,1110,634,1152,444,1118,606
804,1110,634,1162,452,1090,618
805,1110,634,1162,452,1010,628
806,1110,634,1162,452,970,606
807,1110,634,1162,490,962,576
808,1110,634,1148,500,964,558
809,1110,634,1138,530,964,558
810,1110,634,1136,538,964,558
811,1110,634,1136,538,1006,562
812,1110,634,1132,554,1006,562
813,1110,634,1120,544,1022,608
814,1128,648,1132,524,1012,620
816,1152,656,1122,494,1020,656
818,1164,630,1132,462,1064,662
820,1176,626,1150,452,1150,544
821,1185.75,638.125,1168,434,1124,516
822,1232,612,1186,446,1132,508
823,1226,618,1189.3333333333333,448.8333333333333,1164,508
824,1230,626,1196,450,1090,478
825,1252,628,1234,452,1096,496
826,1274,642,1256,458,1094,574
827,1290,674,1274,462,1150,636
828,1318,640,1308,462,1194,666
829,1330,646,1324,472,1254,694
831,1356,646,1374,472,1378,714
832,1356,646,1398,488,1446,714
833,1356,646,1410,490,1484,710
834,1356,646,1410,490,1516,700
836,1350,658,1430,514,1516,700
838,1338,628,1392,478,1510,682
839,1338,628,1392,478,1498,666
840,1308,628,1374,452,1466,648
841,1308,628,1362,444,1418,614
842,1300,606,1346,424,1390,588
843,1300,606,1326,400,1332,540
844,1300,606,1308,400,1312,516
845,1300,606,1290,402,1270,502
846,1296,590,1274,404,1248,504
847,1296,590,1258,390,1232,520
848,1278,580,1244,398,1242,554
851,1276,566,1228,396,1296,612
852,1276,566,1228,396,1314,620
853,1276,566,1248,408,1314,620
854,1276,566,1248,424,1362,626
856,1276,566,1258,428,1418,624
858,1276,566,1280,432,1424,618
860,1284,556,1298,430,1476,608
863,1284,556,1326,436,1476,608
865,1258,550,1328,406,1354,674
867,1252,554,1284,376,1176,638
868,1226,546,1272,362,1126,572
869,1226,546,1254,370,1086,516
870,1204,528,1238,342,1020,480
871,1182,516,1214,340,1000,458
