frame,baseX,baseY,headX,headY,handX,handY
0,400,500,400,400,300,500
1,400.0400303829787,500.13211659574466,400.0386487659574,399.90888510638297,299.9798699574468,500.13211659574466
2,400.1594657588652,500.5254717730497,400.15376885106383,399.63760567375886,299.9200830638298,500.5254717730497
3,400.3573224680851,501.17557361702126,400.3441209361702,399.1892595744681,299.82154417021275,501.17557361702126
4,400.63261685106386,502.077930212766,400.60846570212766,398.56694468085107,299.6851581276596,502.077930212766
5,400.98436524822694,503.22804964539006,400.94556382978726,397.7737588652482,299.51182978723403,503.22804964539006
6,401.411584,504.62144,401.354176,396.8128,299.302464,504.62144
7,401.9132894468085,506.2536093617021,401.833062893617,395.68716595744684,299.0579656170213,506.2536093617021
8,402.488497929078,508.12006581560286,402.38098519148934,394.39995460992907,298.7792394893617,508.12006581560286
9,403.136225787234,510.2163174468085,402.9967035744681,392.95426382978724,298.4671904680851,510.2163174468085
10,403.85548936170215,512.5378723404256,403.67897872340427,391.3531914893617,298.12272340425534,512.5378723404256
11,404.6453049929078,515.0802385815603,404.42657131914893,389.5998354609929,297.74674314893616,515.0802385815603
12,405.5046890212766,517.8389242553192,405.23824204255317,387.6972936170213,297.3401545531915,517.8389242553192
13,406.43265778723406,520.8094374468085,406.11275157446806,385.6486638297872,296.9038624680851,520.8094374468085
14,407.4282276312057,523.9872862411347,407.04886059574466,383.4570439716312,296.4387717446809,523.9872862411347
15,408.490414893617,527.3679787234042,408.04532978723404,381.1255319148936,295.94578723404254,527.3679787234042
16,409.6182359148936,530.9470229787235,409.10091982978724,378.6572255319149,295.42581378723406,530.9470229787235
17,410.810707035461,534.7199270921985,410.2143914042553,376.05522269503547,294.87975625531914,534.7199270921985
18,412.06684459574467,538.6821991489362,411.3845051914894,373.3226212765957,294.3085194893617,538.6821991489362
19,413.3856649361702,542.8293472340425,412.61002187234044,370.46251914893617,293.7130083404255,542.8293472340425
20,414.7661843971631,547.1568794326241,413.8897021276596,367.4780141843972,293.09412765957444,547.1568794326241
21,416.2074193191489,551.6603038297873,415.2223066382979,364.37220425531916,292.4527822978723,551.6603038297873
22,417.7083860425532,556.3351285106382,416.6065960851064,361.14818723404255,291.78987710638296,556.3351285106382
23,419.2681009078014,561.1768615602837,418.0413311489362,357.8090609929078,291.10631693617023,561.1768615602837
24,420.88558025531916,566.1810110638298,419.5252725106383,354.3579234042553,290.4030066382979,566.1810110638298
25,422.5598404255319,571.343085106383,421.05718085106383,350.79787234042556,289.6808510638298,571.343085106383
26,424.28989775886527,576.6585917730497,422.63581685106385,347.13200567375884,288.9407550638298,576.6585917730497
27,426.0747685957447,582.1230391489362,424.25994119148936,343.3634212765957,288.1836234893617,582.1230391489362
28,427.9134692765957,587.731935319149,425.9283145531915,339.4952170212766,287.41036119148936,587.731935319149
29,429.80501614184396,593.4807883687943,427.6396976170213,335.53049078014186,286.6218730212766,593.4807883687943
30,431.7484255319149,599.3651063829788,429.39285106382977,331.4723404255319,285.81906382978724,599.3651063829788
31,433.74271378723404,605.3803974468085,431.18653557446805,327.32386382978723,285.0028384680851,605.3803974468085
32,435.786897248227,611.52216964539,433.01951182978723,323.0881588652482,284.17410178723406,611.52216964539
33,437.87999225531917,617.7859310638298,434.8905405106383,318.7683234042553,283.33375863829787,617.7859310638298
34,440.02101514893616,624.1671897872341,436.79838229787237,314.3674553191489,282.4827138723404,624.1671897872341
35,442.20898226950357,630.6614539007093,438.74179787234044,309.8886524822695,281.6218723404255,630.6614539007093
36,444.4429099574468,637.2642314893617,440.7195479148936,305.33501276595746,280.75213889361703,637.2642314893617
37,446.7218145531915,643.9710306382979,442.73039310638296,300.7096340425532,279.8744183829787,643.9710306382979
38,449.04471239716315,650.777359432624,444.7730941276596,296.0156141843972,278.9896156595745,650.777359432624
39,451.41061982978727,657.6787259574468,446.84641165957447,291.2560510638298,278.09863557446806,657.6787259574468
40,453.8185531914894,664.6706382978723,448.9491063829787,286.4340425531915,277.2023829787234,664.6706382978723
41,456.26752882269506,671.7486045390071,451.0799389787234,281.55268652482266,276.30176272340424,671.7486045390071
42,458.7565630638298,678.9081327659575,453.23767012765956,276.61508085106385,275.39767965957446,678.9081327659575
43,461.28467225531915,686.1447310638298,455.4210605106383,271.6243234042553,274.4910386382979,686.1447310638298
44,463.85087273758865,693.4539075177305,457.62887080851067,266.5835120567376,273.5827445106383,693.4539075177305
45,466.4541808510638,700.831170212766,459.85986170212766,261.4957446808511,272.67370212765957,700.831170212766
46,469.0936129361702,708.2720272340425,462.11279387234043,256.3641191489362,271.7648163404255,708.2720272340425
47,471.76818533333335,715.7719866666666,464.386428,251.19173333333333,270.856992,715.7719866666666
48,474.47691438297875,723.3265565957447,466.67952476595747,245.98168510638303,269.9511339574468,723.3265565957447
49,477.21881642553194,730.9312451063829,468.9908448510638,240.73707234042553,269.0481470638298,730.9312451063829
50,479.9929078014184,738.581560283688,471.3191489361702,235.46099290780143,268.1489361702128,738.581560283688
51,482.7982048510638,746.2730102127659,473.66319770212766,230.15654468085108,267.2544061276596,746.2730102127659
52,485.6337239148936,754.0011029787235,476.0217518297872,224.82682553191492,266.36546178723404,754.0011029787235
53,488.49848133333336,761.7613466666667,478.39357199999995,219.47493333333333,265.483008,761.7613466666667
54,491.3914934468085,769.5492493617021,480.77741889361704,214.10396595744677,264.6079496170213,769.5492493617021
55,494.3117765957447,777.3603191489362,483.17205319148934,208.71702127659572,263.7411914893617,777.3603191489362
56,497.25834712056735,785.1900641134753,485.5762355744681,203.31719716312054,262.8836384680851,785.1900641134753
57,500.23022136170215,793.0339923404256,487.9887267234043,197.90759148936166,262.0361954042553,793.0339923404256
58,503.22641565957446,800.8876119148936,490.40828731914894,192.49130212765962,261.1997671489362,800.8876119148936
59,506.24594635460994,808.7464309219858,492.8336780425532,187.07142695035463,260.3752585531915,808.7464309219858
60,509.28782978723405,816.6059574468086,495.2636595744681,181.65106382978723,259.5635744680851,816.6059574468086
61,512.3510822978724,824.4616995744681,497.6969925957447,176.2333106382979,258.76561974468086,824.4616995744681
62,515.4347202269504,832.3091653900709,500.13243778723404,170.82126524822698,257.98229923404256,832.3091653900709
63,518.5377599148936,840.1438629787234,502.5687558297872,165.41802553191494,257.21451778723406,840.1438629787234
64,521.6592177021276,847.9613004255318,505.0047074042553,160.02668936170213,256.4631802553191,847.9613004255318
65,524.798109929078,855.7569858156028,507.43905319148934,154.65035460992902,255.7291914893617,855.7569858156028
